select players, bowlsz, dist, gname, avg(position) as avg_position, avg(score) as avg_score from game join result on game.id = result.game_id group by players, bowlsz, dist, gname;
+---------+--------+--------------+---------+--------------+-----------+
| players | bowlsz | dist         | gname   | avg_position | avg_score |
|      13 |      1 | random.txt   | g4      |       5.9755 |   14.5480 |
|      13 |      1 | random.txt   | g5a     |       5.9625 |   18.8210 |
|      13 |      1 | random.txt   | g5b     |       5.9185 |   16.9950 |
|      13 |      1 | random.txt   | g6      |       6.0715 |   18.2510 |
|      13 |      1 | random.txt   | g7      |       6.0150 |   18.6520 |
|      13 |      1 | random.txt   | g8      |       5.9720 |   16.9570 |
|      13 |      1 | random.txt   | g8Fruit |       6.0320 |   16.4295 |
|      13 |      1 | random.txt   | g9      |       5.9090 |   17.0620 |
|      13 |      1 | uniform.txt  | dumb    |       6.0980 |   13.1840 |
|      13 |      1 | uniform.txt  | g1_v0   |       5.9760 |   15.2945 |
|      13 |      1 | uniform.txt  | g1_v1   |       6.0575 |   16.2070 |
|      13 |      1 | uniform.txt  | g2      |       5.9460 |   17.9475 |
|      13 |      1 | uniform.txt  | g3      |       5.8905 |   17.9920 |
|      13 |      1 | uniform.txt  | g4      |       5.7945 |   14.8365 |
|      13 |      1 | uniform.txt  | g5a     |       6.1705 |   19.0135 |
|      13 |      1 | uniform.txt  | g5b     |       6.0805 |   17.0160 |
|      13 |      1 | uniform.txt  | g6      |       6.0735 |   18.4570 |
|      13 |      1 | uniform.txt  | g7      |       6.2050 |   18.7365 |
|      13 |      1 | uniform.txt  | g8      |       5.9565 |   16.9715 |
|      13 |      1 | uniform.txt  | g8Fruit |       5.8235 |   16.4315 |
|      13 |      1 | uniform.txt  | g9      |       5.9280 |   17.3745 |
|      13 |      1 | uniform2.txt | dumb    |       5.8770 |   13.0215 |
|      13 |      1 | uniform2.txt | g1_v0   |       5.9675 |   14.7615 |
|      13 |      1 | uniform2.txt | g1_v1   |       6.0920 |   14.5105 |
|      13 |      1 | uniform2.txt | g2      |       5.9715 |   15.8915 |
|      13 |      1 | uniform2.txt | g3      |       5.9370 |   15.3985 |
|      13 |      1 | uniform2.txt | g4      |       6.0495 |   13.9055 |
|      13 |      1 | uniform2.txt | g5a     |       5.9750 |   15.6545 |
|      13 |      1 | uniform2.txt | g5b     |       5.8945 |   15.7960 |
|      13 |      1 | uniform2.txt | g6      |       6.1430 |   15.5790 |
|      13 |      1 | uniform2.txt | g7      |       6.0275 |   15.6840 |
|      13 |      1 | uniform2.txt | g8      |       5.9845 |   14.6100 |
|      13 |      1 | uniform2.txt | g8Fruit |       6.0390 |   14.3855 |
|      13 |      1 | uniform2.txt | g9      |       6.0420 |   14.7225 |
|      13 |      1 | uniform6.txt | dumb    |       5.9940 |   12.8600 |
|      13 |      1 | uniform6.txt | g1_v0   |       5.9150 |   15.5430 |
|      13 |      1 | uniform6.txt | g1_v1   |       6.0335 |   16.2050 |
|      13 |      1 | uniform6.txt | g2      |       6.0820 |   17.4635 |
|      13 |      1 | uniform6.txt | g3      |       6.0885 |   17.5295 |
|      13 |      1 | uniform6.txt | g4      |       5.9935 |   14.5275 |
|      13 |      1 | uniform6.txt | g5a     |       5.9105 |   18.4545 |
|      13 |      1 | uniform6.txt | g5b     |       5.9880 |   16.8240 |
|      13 |      1 | uniform6.txt | g6      |       6.0570 |   17.8375 |
|      13 |      1 | uniform6.txt | g7      |       5.9850 |   18.3550 |
|      13 |      1 | uniform6.txt | g8      |       5.9135 |   16.4140 |
|      13 |      1 | uniform6.txt | g8Fruit |       6.1260 |   15.9550 |
|      13 |      1 | uniform6.txt | g9      |       5.9135 |   16.6415 |
|      13 |     12 | power2.txt   | dumb    |       5.9785 |  156.6185 |
|      13 |     12 | power2.txt   | g1_v0   |       5.9060 |  171.7885 |
|      13 |     12 | power2.txt   | g1_v1   |       6.0300 |  168.7785 |
|      13 |     12 | power2.txt   | g2      |       6.1675 |  177.0625 |
|      13 |     12 | power2.txt   | g3      |       5.9360 |  174.4890 |
|      13 |     12 | power2.txt   | g4      |       5.9920 |  171.5190 |
|      13 |     12 | power2.txt   | g5a     |       6.0110 |  178.2910 |
|      13 |     12 | power2.txt   | g5b     |       6.0270 |  177.8060 |
|      13 |     12 | power2.txt   | g6      |       6.1050 |  170.8645 |
|      13 |     12 | power2.txt   | g7      |       5.8390 |  174.5030 |
|      13 |     12 | power2.txt   | g8      |       5.9610 |  176.2795 |
|      13 |     12 | power2.txt   | g8Fruit |       6.0130 |  175.0365 |
|      13 |     12 | power2.txt   | g9      |       6.0340 |  164.6570 |
|      13 |     12 | random.txt   | dumb    |       5.9015 |  156.7635 |
|      13 |     12 | random.txt   | g1_v0   |       6.0665 |  180.0200 |
|      13 |     12 | random.txt   | g1_v1   |       5.9625 |  178.3165 |
|      13 |     12 | random.txt   | g2      |       6.0780 |  182.6155 |
|      13 |     12 | random.txt   | g3      |       5.9980 |  180.5470 |
|      13 |     12 | random.txt   | g4      |       6.0455 |  178.3660 |
|      13 |     12 | random.txt   | g5a     |       5.9160 |  184.6005 |
|      13 |     12 | random.txt   | g5b     |       6.1810 |  185.8635 |
|      13 |     12 | random.txt   | g6      |       5.7620 |  179.6830 |
|      13 |     12 | random.txt   | g7      |       5.8600 |  183.8750 |
|      13 |     12 | random.txt   | g8      |       5.9795 |  182.3775 |
|      13 |     12 | random.txt   | g8Fruit |       6.1530 |  183.7395 |
|      13 |     12 | random.txt   | g9      |       6.0965 |  167.2705 |
|      13 |     12 | uniform.txt  | dumb    |       6.0145 |  155.7560 |
|      13 |     12 | uniform.txt  | g1_v0   |       6.0015 |  183.2490 |
|      13 |     12 | uniform.txt  | g1_v1   |       5.9340 |  181.6065 |
|      13 |     12 | uniform.txt  | g2      |       5.9200 |  183.5000 |
|      13 |     12 | uniform.txt  | g3      |       6.0205 |  181.9285 |
|      13 |     12 | uniform.txt  | g4      |       6.0775 |  177.3030 |
|      13 |     12 | uniform.txt  | g5a     |       5.9185 |  184.3220 |
|      13 |     12 | uniform.txt  | g5b     |       5.8595 |  186.4520 |
|      13 |     12 | uniform.txt  | g6      |       6.0805 |  178.1275 |
|      13 |     12 | uniform.txt  | g7      |       6.0455 |  186.4240 |
|      13 |     12 | uniform.txt  | g8      |       6.0080 |  184.0660 |
|      13 |     12 | uniform.txt  | g8Fruit |       6.0160 |  186.6410 |
|      13 |     12 | uniform.txt  | g9      |       6.1040 |  168.6050 |
|      13 |     12 | uniform2.txt | dumb    |       6.0065 |  155.3315 |
|      13 |     12 | uniform2.txt | g1_v0   |       6.0935 |  165.6400 |
|      13 |     12 | uniform2.txt | g1_v1   |       5.9365 |  164.1420 |
|      13 |     12 | uniform2.txt | g2      |       6.2445 |  169.6260 |
|      13 |     12 | uniform2.txt | g3      |       5.9635 |  169.7610 |
|      13 |     12 | uniform2.txt | g4      |       5.8505 |  169.7125 |
|      13 |     12 | uniform2.txt | g5a     |       5.9160 |  167.5740 |
|      13 |     12 | uniform2.txt | g5b     |       6.0445 |  171.2635 |
|      13 |     12 | uniform2.txt | g6      |       6.0610 |  167.0315 |
|      13 |     12 | uniform2.txt | g7      |       6.0790 |  167.7965 |
|      13 |     12 | uniform2.txt | g8      |       6.0365 |  169.9165 |
|      13 |     12 | uniform2.txt | g8Fruit |       6.0210 |  168.1635 |
|      13 |     12 | uniform2.txt | g9      |       5.7470 |  159.3940 |
|      13 |     12 | uniform6.txt | dumb    |       5.9950 |  155.9635 |
|      13 |     12 | uniform6.txt | g1_v0   |       5.9320 |  176.5365 |
|      13 |     12 | uniform6.txt | g1_v1   |       6.0065 |  175.0330 |
|      13 |     12 | uniform6.txt | g2      |       6.0170 |  182.2650 |
|      13 |     12 | uniform6.txt | g3      |       5.9245 |  178.9490 |
|      13 |     12 | uniform6.txt | g4      |       5.9985 |  176.4165 |
|      13 |     12 | uniform6.txt | g5a     |       6.0510 |  182.3185 |
|      13 |     12 | uniform6.txt | g5b     |       6.1275 |  185.0435 |
|      13 |     12 | uniform6.txt | g6      |       6.1230 |  175.8830 |
|      13 |     12 | uniform6.txt | g7      |       6.0760 |  181.1205 |
|      13 |     12 | uniform6.txt | g8      |       5.8175 |  180.8805 |
|      13 |     12 | uniform6.txt | g8Fruit |       5.9650 |  182.2590 |
|      13 |     12 | uniform6.txt | g9      |       5.9665 |  165.9910 |
|      13 |     36 | power2.txt   | dumb    |       5.9945 |  462.8755 |
|      13 |     36 | power2.txt   | g1_v0   |       6.0740 |  484.9090 |
|      13 |     36 | power2.txt   | g1_v1   |       5.9125 |  479.8310 |
